"card_url","card_name","card_image","card_number","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/3358","Viola, Treacherous Maiden","http://d12h0em1d7ppg.cloudfront.net/items/33/3358/image_en/9fa9a773-89df-4d8c-9c0b-801b4ece3ba3.jpg","SDR6-007","http://d12h0em1d7ppg.cloudfront.net/docs/icons/green.png","600 / 600","Resonator","Dragonoid/Historical","Yukie TAJIMA","Constructed Deck ""The Lost Tomes""","Activate
Banish this card: Remove up to two target cards in a single graveyard from the game.","""I have waited all my life for a chance to escape this wretched fate.""","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3358","Viola, Treacherous Maiden","http://d12h0em1d7ppg.cloudfront.net/items/33/3358/image_en/9fa9a773-89df-4d8c-9c0b-801b4ece3ba3.jpg","SDR6-007","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","600 / 600","Resonator","Dragonoid/Historical","Yukie TAJIMA","Constructed Deck ""The Lost Tomes""","Activate
Banish this card: Remove up to two target cards in a single graveyard from the game.","""I have waited all my life for a chance to escape this wretched fate.""","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3359","Blazer, the Legendary Thief","http://d12h0em1d7ppg.cloudfront.net/items/33/3359/image_en/5a7bce9f-4806-41ed-9e8f-c03a9c8dfe2d.jpg","SDR6-008","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","800 / 800","Resonator","Human/Historical","Kusanagi Tyouen","Constructed Deck ""The Lost Tomes""","Activate
Remove a [+100/+100] counter from this card: Choose one - Remove an attacking J/resonator battling with this card from battle; or cancel target spell or ability targeting this card.","The treasure? Sure, I'll return it to you. It's garbage now anyway.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3359","Blazer, the Legendary Thief","http://d12h0em1d7ppg.cloudfront.net/items/33/3359/image_en/5a7bce9f-4806-41ed-9e8f-c03a9c8dfe2d.jpg","SDR6-008","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/03.png","800 / 800","Resonator","Human/Historical","Kusanagi Tyouen","Constructed Deck ""The Lost Tomes""","Activate
Remove a [+100/+100] counter from this card: Choose one - Remove an attacking J/resonator battling with this card from battle; or cancel target spell or ability targeting this card.","The treasure? Sure, I'll return it to you. It's garbage now anyway.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3360","Rachel, Nephilim Contract Maker","http://d12h0em1d7ppg.cloudfront.net/items/33/3360/image_en/6b7ead1d-aaa9-41fe-9973-d9f50bf05607.jpg","SDR6-009","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","700 / 800","Resonator","Demon/Historical","gajumaru","Constructed Deck ""The Lost Tomes""","Activate
[rest], remove another resonator you control from the game: Put target resonator from your graveyard into the field. Play this ability only during your turn.","Unable to resist the offer, Rachel forged a pact with a demon.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3360","Rachel, Nephilim Contract Maker","http://d12h0em1d7ppg.cloudfront.net/items/33/3360/image_en/6b7ead1d-aaa9-41fe-9973-d9f50bf05607.jpg","SDR6-009","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","700 / 800","Resonator","Demon/Historical","gajumaru","Constructed Deck ""The Lost Tomes""","Activate
[rest], remove another resonator you control from the game: Put target resonator from your graveyard into the field. Play this ability only during your turn.","Unable to resist the offer, Rachel forged a pact with a demon.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3361","Forbidden Arts","http://d12h0em1d7ppg.cloudfront.net/items/33/3361/image_en/c27de83f-dfa3-4da1-a700-7f7de2af9866.jpg","SDR6-010","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","","Chant","Historical","ShiroYayoi","Constructed Deck ""The Lost Tomes""","","A fragment of the ultimate power.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3361","Forbidden Arts","http://d12h0em1d7ppg.cloudfront.net/items/33/3361/image_en/c27de83f-dfa3-4da1-a700-7f7de2af9866.jpg","SDR6-010","http://d12h0em1d7ppg.cloudfront.net/docs/icons/dark.png","","Chant","Historical","ShiroYayoi","Constructed Deck ""The Lost Tomes""","","A fragment of the ultimate power.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3362","Gill Alhama'at, He Who Controls the Taboo","http://d12h0em1d7ppg.cloudfront.net/items/33/3362/image_en/a6e8d5b0-f32d-404f-a8e8-95b236eb7400.jpg","SDR6-011","","","Ruler","Wizard/Historical","gekko","Constructed Deck ""The Lost Tomes""","Automatic
Whenever you play a Historical card ⇒ Put a fate counter on target non-magic stone entity you control.","Gill at last knew the nature of his prophetic dreams. The ancient destruction of this world, the path he would follow.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3363","Gill Alhama'at, Treasonous Emperor","http://d12h0em1d7ppg.cloudfront.net/items/33/3363/image_en/65efb037-f9a2-415b-a2c4-d74ac6d3572a.jpg","SDR6-011J","","1000 / 1200","J-ruler","Wizard/Historical","gekko","Constructed Deck ""The Lost Tomes""","Activate
[1], banish a resonator: This card gains [Swiftness], [Imperishable], or [Precision] until end of turn.","""Sacrifice everything, it is the only way to beat the witch.""","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3364","Alhama'at's Ultra Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3364/image_en/23f5982a-3cf7-41c3-a880-948e7e8c1eac.jpg","SDR6-012","","","Special Magic Stone/True Magic Stone","","tokiwa","Constructed Deck ""The Lost Tomes""","Automatic
When you control two or more true magic stones that share a name ⇒ Banish all but one of them.","The Ultimate Magic Stone after absorbing forbidden magic.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3365","Historical Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3365/image_en/8ab4a75c-492d-4eef-b5cc-75983f41f8b5.jpg","SDR6-013","","","Special Magic Stone","","Moopic","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [w] or [b]. Spend this will only to do judgment.","A pensive stone that shows moments of history.","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3366","Darkness Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3366/image_en/615c6220-8659-4db4-afa0-12a3359ecea9.jpg","SDR6-014","","","Basic Magic Stone","","sasaki kounosuke","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [B].","","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3367","Fire Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3367/image_en/2c418f50-535f-462b-a525-bd1787aaa09b.jpg","SDR6-015","","","Basic Magic Stone","","kurisu","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [R].","","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3368","Light Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3368/image_en/dba1cf80-4823-458e-8501-b38ef3a43471.jpg","SDR6-016","","","Basic Magic Stone","","BANAMONS*","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [W].","","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3369","Water Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3369/image_en/64f0ece8-826b-45a2-bc85-0b6ec63796e9.jpg","SDR6-017","","","Basic Magic Stone","","kurisu","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [U].","","Constructed Deck ""The Lost Tomes"""
"http://www.fowtcg.com/card/3370","Wind Magic Stone","http://d12h0em1d7ppg.cloudfront.net/items/33/3370/image_en/d5aa9e5d-9c54-4956-88ab-fbd7fb13888a.jpg","SDR6-018","","","Basic Magic Stone","","kurisu","Constructed Deck ""The Lost Tomes""","Activate
[rest]: Produce [G].","","Constructed Deck ""The Lost Tomes"""
