Set,Card #,Card Name,Type,Cost,Light,Fire,Water,Wind,Darkness,Void
tat,096,Magic Stone of Gusting Skies,Special Magic Stone,0,,,,,,
tat,097,Magic Stone of Light Vapors,Special Magic Stone,0,,,,,,
tat,098,Magic Stone of Scorched Bales,Special Magic Stone,0,,,,,,
tat,099,"Milest, The Ghostly Flame Stone",True Magic Stone,0,,,,,,
tat,100,"Moojdart, the Fantasy Stone",True Magic Stone,0,,,,,,
mpr,014,Sign to the Future,Chant (Quickcast),2,1,,,,,1
mpr,023,"Blazer, the Eater of Dimensions",Resonator,5,,3,,,,2
mpr,041,"Etna, the Snow Queen",Resonator,3,,,2,,,1
mpr,043,Glimpse of Kaguya,Chant (Quickcast),2,,,1,,,1
mpr,061,Familiar of Holy Wind,Resonator,1,,,,1,,
mpr,062,"Fiethsing, the Magus of Holy Wind",Resonator,3,,,,2,,1
mpr,065,"Morgiana, the Wise Servant",Resonator,1,,,,1,,
mpr,090,"Zero, the Magus of Null",Resonator,3,,,,,2,1
mpr,091,"Alice, the Guardian of Dimensions",Resonator,3,1,,1,,,1
mpr,098,"Little Red, the Pure Stone",True Magic Stone,0,,,,,,
mpr,099,Magic Stone of Moon Light,Special Magic Stone,0,,,,,,
mpr,100,Magic Stone of Moon Shade,Special Magic Stone,0,,,,,,
moa,011,Ame-No-Habakiri,Addition (Weapon),2,,2,,,,
moa,019,"Susanowo, the Ten-Fist Sword",Resonator,6,,3,,,,3
vin001,017,Banzai Attack,Chant ,4,,2,,,,2
vin001,077,Ryoma Sakamoto,Resonator,2,,,,,,2
vin001,078,Shakespeare,Resonator,3,,,,,,3
skl,003,"Bedivere, the Restorer of Souls",Resonator,3,2,,,,,1
skl,005,Celestial Wing Seraph,Resonator,5,2,,,,,3
skl,009,"Gwiber, the White Dragon",Resonator,5,1,,,,,4
skl,021,"Draig, the Red Dragon",Resonator,5,,1,,,,4
skl,025,Flame King's Shout,Chant,3,,2,,,,1
skl,026,"Gareth, the Dauntless Knight",Resonator,3,,2,,,,1
skl,031,"Snow White, the Valkyrie of Passion",Resonator,3,,2,,,,1
skl,034,Alice's Castling,Chant (Quickcast),1,,,1,,,
skl,035,Alice's Little Scout,Resonator,1,,,1,,,
skl,036,Charm of the Princess,Chant ,2,,,2,,,X
skl,037,"Cinderella, the Valkyrie of Glass",Resonator,2,,,2,,,
skl,052,"Behemoth, the Earth Eater",Resonator,5,,,,2,,3
skl,053,Blessing of Yggdrasil,Chant,2,,,,1,,1
skl,058,Keen Sense,Chant (Quickcast),2,,,,1,,1
skl,061,Rapid Growth,Chant (Quickcast),1,,,,1,,
skl,066,"Arthur, the Dead Lord of Vengeance",Resonator,4,,,,,2,2
skl,079,Soulhunt,Chant,1,,,,,1,
skl,081,Underground Dragger,Resonator,3,,,,,2,1
skl,095,"Artemis, the God's Bow",Regalia,0,,,,,,0
skl,096,"Death Schythe, the Life Reaper",Regalia,0,,,,,,0
skl,097,"Deep Blue, the Phantom Board",Regalia,0,,,,,,0
skl,098,"Gleipnir, the Red Binding of Fate",Regalia,0,,,,,,0
skl,099,Horn of the Sacred Beasts,Regalia,0,,,,,,0
skl,100,"Marybell, the Steel Doll",Regalia,0,,,,,,0
ttw,003,"Arthur Pendragon, King of the Round Table",Resonator,5,2,,,,,3
ttw,009,Grand Cross,Chant,2,2,,,,,
ttw,016,The Final Word,Chant (Quickcast),1,1,,,,,
ttw,021,Burn to Cinders,Chant (Quickcast),2,,2,,,,
ttw,027,"Guinevere, the Jealous Queen",Resonator,1,,1,,,,
ttw,029,"Lancelot, the Knight of Mad Demon",Resonator,2,,2,,,,
ttw,037,"Adombrali, the Unfathomable",Resonator,3,,,2,,,1
ttw,055,Beastly Attack,Chant (Quickcast),3,,,,2,,1
ttw,062,"Pricia, Beast Queen in Hiding",Resonator,3,,,,2,,1
ttw,064,Rewriting Laws,Chant,2,,,,1,,1
ttw,068,The Beast Queen's Counter Attack,Chant,2,,,,2,,
ttw,075,Dance of the Shadows,Chant (Quickcast),4,,,,,1,3
ttw,088,Shadow Doppelganger,Resonator,4,,,,,1,3
ttw,089,The Scorn of Dark Alice,Chant,1,,,,,1,
ttw,090,Unseen Pressure,Chant (Quickcast),1,,,,,1,
ttw,099,"Laevateinn, the Demon Sword",Regalia,0,,,,,,0
ttw,100,"Schrodinger, the Fallen Black Cat",Regalia,3,,,,,,3
ttw,102,Ruler's Memoria,Special Magic Stone,0,,,,,,
tms,005,"Izanagi, Keeper of the Seal",Resonator,6,2,,,,,4
tms,008,Luminescent Bamboo Bullet,Chant,2,1,,,,,1
tms,013,Shining Strike,Chant (Quickcast),1,1,,,,,
tms,016,Tsukuyomi Noble,Resonator,2,2,,,,,
tms,021,Demon Flame,Chant (Quickcast),1,,1,,,,
tms,029,Rukh Egg,Resonator,1,,1,,,,
tms,043,Prison in the Lunar Lake,Chant (Standby),3,,,1,,,2
tms,049,"Valentina, Puppet Monarch",Resonator,4,,,2,,,2
tms,053,"Avatar of the Seven Lands, Alice",Resonator,6,,,,3,,3
tms,055,Foment of the World Tree,Chant,2,,,,2,,
tms,059,Moonbreeze Elf,Resonator,1,,,,1,,
tms,060,Pricia's Call to Action,Chant (Quickcast),1,,,,1,,
tms,063,Timekeeper Elf,Resonator,3,,,,1,,2
tms,064,Wall of Wind,Chant (Quickcast),1,,,,1,,
tms,065,Wind Secluded Refuge,Addition,2,,,,1,,1
tms,075,"Fallen Angelic Destroyer, Lucifer",Resonator,4,,,,,2,2
tms,083,Space-Time Collapse,Chant,2,,,,,2,
tms,084,The Executioner,Resonator,1,,,,,1,
tms,087,"Marybell, Insane Self-Aware Machine",Resonator,5,,,,,,5
tms,088,"Pricia, Pursuant of Exploding Flame",Resonator,3,,1,,1,,1
tms,089,Seal of Wind and Light,Chant (Quickcast),2,1,,,1,,
tms,090,Space-Time Anomaly,Chant (Quickcast),2,,,1,,1,
tms,091,"Blade of the Seven Lands, Excalibur X",Regalia,3,,,,,,3
tms,092,"Heavenly Instrument, Hydromonica",Regalia,0,,,,,,0
tms,094,"Interdimensional Vessel, Apollo",Regalia,0,,,,,,0
tms,096,Black Moon's Memoria,Special Magic Stone,0,,,,,,
tms,099,Moonbreeze's Memoria,Special Magic Stone,0,,,,,,
bfa,007,Interdimensional Escape,Chant (Quickcast),3,2,,,,,1
bfa,011,Rabbit of Moonlit Nights,Resonator,1,1,,,,,
bfa,028,"True Successor of Certo, Volga",Resonator,2,,2,,,,
bfa,042,"Shion, Liberator of Shangri-La",Resonator,2,,,2,,,
bfa,061,Black Moonbeam,Chant (Quickcast),2,,,,,2,
bfa,070,Lapis' Dark Storm,Chant,2,,,,,2,
bfa,076,Alice of Light/Alice of Shadow,Resonator (Shift),3,1,,,,,2
bfa,077,"Lars, Inheritor of the Scared Spirit/Glorian Princess of Water, Charlotte",Resonator (Shift),2,,1,,,,1
bfa,078,"Reflect, the Beginning of Time/Refrain, the End of Ages",Resonator (Shift),1,,,,1,,
bfa,079,"Slayer of the Overlord, Pricia/Possessor Princess of Love, Valentina",Resonator (Shift),2,,,,1,,1
bfa,080,"Interdimensional Monarch, Gill Lapis/Space-Time Pursuer, Gill Lapis",Resonator (Shift),3,,,,,2,1
bfa,081,"Attoractia, Dimension of the Seven Kings/Illusory Demonic Globe, Attoractia",Addition/Regalia,2,,,,,,2
bfa,096,Call to Action's Memoria,Special Magic Stone,0,,,,,,
bfa,097,Brutal Conqueror's Memoria,Special Magic Stone,0,,,,,,
bfa,098,Aloof Researcher's Memoria,Special Magic Stone,0,,,,,,
bfa,099,First Flight's Memoria,Special Magic Stone,0,,,,,,
bfa,100,Sorrowful Necromancy's Memoria,Special Magic Stone,0,,,,,,
vin002,042,Sniping From the Blind Spot,Chant (Quickcast),1,,,1,,,
vin002,053,Destructive Assault,Chant,1,,,,1,,
vin002,076,Class G's Tank,Regalia,2,,,,,,2
vin002,080,Ragnite,Regalia,3,,,,,,3
sdl1,005,Kid Puss in Boots,Resonator,1,1,,,,,
sdl1,007,Magic Sweets,Chant (Quickcast),1,1,,,,,
sdl1,008,Manifestation of Power,Chant (Quickcast),2,1,,,,,1
sdl2,006,Lightning Strike,Chant (Quickcast),1,,1,,,,
sdl3,002,Ancient Knowledge ,Chant (Quickcast),4,,,2,,,2
sdl3,004,Ice Dragon of Altea,Resonator,9,,,2,,,7
sdl4,004,Home of the Sages,Addition,2,,,,1,,1
sdl4,005,Sacred Elf,Resonator,1,,,,1,,
sdl4,007,"Tama, Familiar of Holy Wind",Resonator,1,,,,1,,
sdl4,009,Two-Fold Chant,Chant (Quickcast),2,,,,1,,1
cfc,002,Dreams of Flight,Chant (Quickcast),1,1,,,,,
cfc,006,"Glorious, the Silver Knight",Resonator,3,2,,,,,1
cfc,017,Zero's Magic Light,Chant (Quickcast),2,2,,,,,
cfc,022,"Fairytale Library, Alexandria",Addition,2,,1,,,,1
cfc,037,"Captain Hook, the Pirate",Resonator,5,,,2,,,3
cfc,040,Charlotte's Water Transformation Magic,Chant (Quickcast),1,,,1,,,
cfc,041,"Cheshire Cat, Guide to the Mysterious World",Resonator,2,,,1,,,1
cfc,043,"Lumia, Sealed in the Frozen Casket/Lumia, Saint of World Awakening",Resonator (Shift),3,,,1,,,2
cfc,049,Shackles of Ice,Addition,1,,,1,,,
cfc,053,Cloning Magic,Chant (Quickcast),2,,,,1,,1
cfc,058,Heavenly Gust,Chant (Quickcast),2,,,,2,,
cfc,060,Magic Stone Analysis,Chant,2,,,,1,,1
cfc,062,Red Riding Hood,Resonator,2,,,,2,,
cfc,064,Sha Wujing,Resonator,3,,,,1,,2
cfc,065,"Sorceress of Heavenly Wind, Melfee",Resonator,2,,,,1,,1
cfc,071,"Azathoth, Hunter of Reality",Resonator,8,,,,,2,6
cfc,079,"Rinka, Second Daughter of Mikage",Resonator,2,,,,,2,
cfc,083,The Nameless Mist,Chant,1,,,,,1,
lel,001,"Amaterasu, Guide of Light",Resonator,3,2,,,,,1
lel,002,Amaterasu's Foresight,Chant (Quickcast),2,1,,,,,1
lel,004,Lumia's Purification,Chant,3,2,,,,,1
lel,018,"Charlotte, Wielder of the Scared Spirit",Resonator,4,,,3,,,1
lel,023,Rachel's Smile,Chant (Quickcast),5,,,2,,,3
lel,025,"Fiethsing, the Fate Spinning Winds",Resonator,2,,,,1,,1
lel,026,Final Breeze,Chant (Quickcast),2,,,,1,,1
lel,027,Gale Force,Chant (Quickcast),1,,,,1,,
lel,030,Magic Stone Life Form,Resonator,1,,,,1,,
lel,031,Planting Beans,Chant,1,,,,1,,
lel,036,Fated Reunion,Chant,2,,,,,1,1
lel,038,Shadow of Lapis,Resonator,1,,,,,1,
lel,039,"Yashahime, First Daughter of Mikage",Resonator,3,,,,,2,1
lel,043,"Ammit, Beast of Gluttony",Resonator,7,,,,1,1,5
lel,045,Barrier Seal,Addition,2,1,1,,,,
lel,049,Curse of the Kyuubi,Chant (Quickcast),2,,,,1,1,X
lel,050,Deceptive Dream,Resonator,4,,,1,,1,2
lel,051,Demonic Instigator,Resonator,3,,1,1,,,1
lel,055,Faria's Summoning,Chant (Quickcast),2,1,,,1,,
lel,056,Fiethsing's Monocle,Addition,2,1,,,1,,
lel,059,"Griphon, Racing Across Darkness",Resonator,6,,,,1,1,4
lel,060,"Grusbalesta, Magic Stone Researcher",Resonator,3,,,,1,1,1
lel,061,Grusbalesta's Secret Technique,Chant (Quickcast),2,,,,1,1,
lel,068,Kaguya's Moonbeam Butterfly,Chant,2,1,,,1,,X
lel,072,Lumia's Judgement,Chant,2,1,1,,,,X
lel,073,Magic Rebound,Chant (Quickcast),2,,,1,,1,
lel,078,"Nightmare, the Ashen Dream",Resonator,3,,,1,,1,1
lel,079,"Nyarlathotep, the Crimson Radiance",Resonator,2,1,1,,,,
lel,081,Priest of Divine Protection,Resonator,3,1,1,,,,1
lel,082,Prokaryotic Being,Resonator,2,,1,1,,,
lel,088,Steam Explosion,Chant,2,,1,1,,,X
lel,090,The Manticore,Resonator,5,,,,1,1,3
lel,091,Tuning of Wind and Darkness,Chant,3,,,,1,1,1
lel,092,Twin-Headed Dragon,Resonator,4,,1,1,,,2
lel,093,Valentina's Reach,Chant ,2,,,1,,1,X
lel,094,Wetlands of Magical Origin,Addition,2,,,,1,1,
lel,096,"Awakened Magic Stone, the Earth",Special Magic Stone,0,,,,,,
lel,097,Killing Stone,Special Magic Stone,0,,,,,,
lel,098,Magic Stone of Vaporization,Special Magic Stone,0,,,,,,
lel,099,Pricia's Memoria,Special Magic Stone,0,,,,,,
lel,100,Remains of Attoractia,Special Magic Stone,0,,,,,,
vin003,001,"Arla, the Light Wing",Resonator,4,2,,,,,2
vin003,004,"Faria, Paladin of the Dawn",Resonator,2,2,,,,,
vin003,008,Knight Lord of Godspeed,Resonator,5,2,,,,,3
vin003,009,Light Wizard,Resonator,1,1,,,,,
vin003,017,"Barbatos, World's Greatest Eccentric",Resonator,4,,2,,,,2
vin003,024,Fire Wizard,Resonator,1,,1,,,,
vin003,027,"Melgis, King of Conquest",Resonator,2,,2,,,,
vin003,028,"Salamander, Envoy of Fire",Resonator,4,,2,,,,2
vin003,029,"Shimazu Yoshihiro, Feudal Flame Lord",Resonator,3,,2,,,,1
vin003,030,"Sylvia Gill Palarilias, Infernal Dragon",Resonator,3,,2,,,,1
vin003,034,"Chronos, the God of Time",Resonator,4,,,2,,,2
vin003,042,"Tomoe Gozen, Merciful Aqua Twin Swords",Resonator,2,,,1,,,1
vin003,043,"Triton, Emperor of the Seven Seas",Resonator,2,,,2,,,
vin003,044,"Valentina, Maiden of the Oceans",Resonator,6,,,2,,,4
vin003,045,Water Wizard,Resonator,1,,,1,,,
vin003,047,"Frigg, Goddess of Abundant Harvests",Resonator,5,,,,2,,3
vin003,051,"Little Red, Fairy Tale of Air ",Resonator,1,,,,1,,
vin003,052,"Oberon, Lord of Elves",Resonator,4,,,,2,,2
vin003,053,"Pricia, Wild Child",Resonator,1,,,,1,,
vin003,056,"Scheherazade, the Prophet",Resonator,4,,,,4,,
vin003,061,"Abdul Alhazred, Poet of Madness",Resonator,2,,,,,2,
vin003,064,Darkness Wizard,Resonator,1,,,,,1,
vin003,067,"Gill Lapis, the Pure Youth",Resonator,6,,,,,3,3
vin003,069,"Loki, Being of the End",Resonator,2,,,,,2,
vin003,070,"Rezzard, the Vampire Lord",Resonator,3,,,,,3,
vin003,071,"Sariel, Lord of the Moons",Resonator,4,,,,,2,2
vin003,072,"Shade, Envoy of Darkness",Resonator,2,,,,,2,
vin003,078,"Jeanne d'Arc, the Maid of Orleans",Resonator,3,1,,1,,,1
vin003,079,"Karmic Governer, Laplace",Resonator,5,,1,,1,,3
vin003,081,"Odin, the Omniscient",Resonator,6,,,,1,1,4
vin003,083,"Snow White, the Avenger",Resonator,3,1,1,,,,1
vin003,084,"Vafthruthnir, Giant Wiseman",Resonator,4,,,1,1,,2
vin003,085,"Yggdrasil, the First Tree",Resonator,4,1,,,1,,2
vin003,086,Burning Water Magic Stone,Special Magic Stone,0,,,,,,
vin003,087,Gusting Darkness Magic Stone,Special Magic Stone,0,,,,,,
vin003,088,Magic Stone of Murky Waters,Special Magic Stone,0,,,,,,
vin003,089,Magic Stone of Nature's Beauty,Special Magic Stone,0,,,,,,
vin003,090,Magic Stone of Purgatory,Special Magic Stone,0,,,,,,
vin003,091,Magic Stone of Radiant Waves,Special Magic Stone,0,,,,,,
vin003,092,Magic Stone of Summer's Breeze,Special Magic Stone,0,,,,,,
vin003,093,Misty Wind Magic Stone,Special Magic Stone,0,,,,,,
vin003,094,Shadowy Light Magic Stone,Special Magic Stone,0,,,,,,
vin003,095,Sparkling Fire Magic Stone,Special Magic Stone,0,,,,,,
rde,002,Guardian of Altean Law,Resonator,3,2,,,,,1
rde,010,Memory to Memoria,Chant,1,,1,,,,
rde,011,"Milest, the First Flame",Resonator,3,,3,,,,
rde,015,Sprinting Flame Horse,Resonator,1,,1,,,,
rde,020,"Eia, God of Water",Resonator,4,,,2,,,2
rde,023,"Undine, the Spirit of Water",Resonator,2,,,1,,,1
rde,025,Divine Bird of Attoractia,Resonator,1,,,,1,,
rde,028,Miracle Millenia Medicine,Addition,1,,,,1,,
rde,045,Black Hole of the Spirit World,Addition,4,,2,,,2,
rde,048,Concord of Saints and Beasts,Chant (Quickcast),3,,1,,1,,1
rde,050,Door of Time,Chant,2,,,1,1,,X
rde,051,Dragon of Fire and Wind,Resonator,3,,1,,1,,1
rde,053,End of Days,Chant,2,,1,,,1,X
rde,054,Erasure,Chant,4,1,,,,1,2
rde,065,Kaguya's Pictorial Scroll,Addition,3,,,1,1,,1
rde,067,"Mariabella, the Machine Hearted",Resonator,4,,2,,1,,1
rde,069,Millennia Bond,Chant (Quickcast),2,,,1,1,,
rde,077,Pricia's Leap,Chant,2,,1,,1,,X
rde,081,Schrodinger's Observation,Chant,2,1,,,,1,X
rde,084,"Sissei, Pricia's Barrier",Addition,2,,1,,1,,
rde,093,"Valentina, the Twilight Passion",Resonator,4, ,1,,,1,2
rde,095,Will o'the Wisp,Resonator,2,1,,1,,,
rde,096,Ancient Magic Stone,Special Magic Stone,0,,,,,,
rde,097,Kaguya's Stone of Sorrow,Special Magic Stone,0,,,,,,
rde,098,Magic Stone of the Ebon Home,Special Magic Stone,0,,,,,,
rde,099,Memoria of Reincarnation,Special Magic Stone,0,,,,,,
rde,100,Stone of the Dragonoids,Special Magic Stone,0,,,,,,
enw,002,"Arla, Demonic Flying Ace",Resonator,3,1, ,,,,2
enw,010,Release,Chant,2,1,,,,,1
enw,016,"Zero, the King's Blade",Resonator,2,2,,,,,
enw,036,"Alice, Girl of the Blue Planet",Resonator,2,,,2,,,
enw,043,Flute's Water Dragon,Resonator,1,,,1,,,
enw,049,The Cheshire Cat's Assistance,Chant,1,,,1,,,
enw,051,Umr At-Tawil,Resonator,7,,,2,,,5
enw,052,Confront the Unknown,Chant (Quickcast),2,,,,1,,1
enw,060,"Pricia, Ready for the Final Battle",Resonator,5,,,,2,,3
enw,063,Severing Winds,Chant (Quickcast),4,,,,2,,2
enw,075,Heteroclite Excalibur,Chant,1,,,,,1,
enw,076,"Mikage Seijuro, Patriarch of the Vampires",Resonator,3,,,,,2,1
enw,077,Neo Barrier of Shadows,Addition,2,,,,,1,1
enw,084,The Final Battle,Chant,1,,,,,1,X
enw,086,Dawn of the Earth,Chant (Quickcast),2,1,,1,,,
enw,087,"Gill Lapis, Usurper of Maddening Power",Resonator,3,1,,,,1,1
enw,092,"Sylvia, Blade of the Supreme King",Resonator,2,,1,,1,, 
enw,093,"Ultimate Swordsmaster, Faria",Resonator,4,1,,,1,,2
enw,094,"Valentina, the Crumbling Illusion",Resonator,7,,,1,,1,5
enw,096,"Machina, King of Accursed Machines",Resonator,3,,,,,,3
enw,099,Star Fragment,Special Magic Stone,0,,,,,,
enw,100,Time Altering Magic Stone,Special Magic Stone,0,,,,,,
sdr2,011,Mad Boar of Mt Hoelle,Resonator,2,,2,,,,
sdr4,008,Travelling Trader,Resonator,1,,,,1,,
sdr4,010,Vanish,Chant (Quickcast),3,,,,3,,
sdr4,012,Spirit Stone,Special Magic Stone,0,,,,,,
sdr5,007,"Grimm, the Pitch Black Vampire",Resonator,4,,,,,2,2
acn,018,"Orphica, Dancer in the White Mist",Resonator,2,2,,,,,
acn,042,Fiend Fire,Chant,1,,1,,,,X
acn,049,High Speed,Chant,1,,1,,,,
acn,052,"Kain, Demon of Vice",Resonator,4,,2,,,,2
acn,069,Keeze's Call,Chant (Quickcast),1,,,1,,,
acn,077,Seabed Investigation,Chant,2,,,2,,,
acn,079,Shaela's Foresight,Chant (Quickcast),2,,,2,,,
acn,081,Spinning Aquasol,Chant (Quickcast),1,,,1,,,
acn,086,Absolute Awareness,Chant ,2,,,,2,,
acn,094,Faerur's Command,Chant,7,,,,3,,4
acn,096,Faerur's Spell,Chant (Quickcast),1,,,,1,,
acn,123,Dark Riding Hood,Resonator,3,,,,,3,
acn,129,Lethal Arrow,Chant (Quickcast),1,,,,,1,
acn,140,Truth Amongst Darkness,Chant,3,,,,,1,2
acn,144,Idol of Magic,Addition,1,,,,,,1
acn,147,Statue in the Sacred Temple,Addition,2,,,,,,2
adk,017,"Ra, the Golden Bird",Resonator,2,2,,,,,
adk,025,The Floating Isle,Addition,3,2,,,,,1
adk,029,Winds of Gold,Chant (Quickcast),1,1,,,,,
adk,031,Callous Blaze,Chant (Quickcast),1,,1,,,,
adk,045,"Frayla, Servant of Demon Fire",Resonator,2,,1,,,,1
adk,061,Ayu's Pictorial Scroll,Addition,2,,,1,,,1
adk,063,Ayu's Sword Strike,Chant (Quickcast),1,,,1,,,
adk,070,Lowly Spirit Bug,Resonator,1,,,1,,,
adk,073,Magical Wind Chime,Addition,2,,,2,,,
adk,075,Misty Dragon Spirit,Resonator,4,,,2,,,2
adk,076,Mosasaurus,Resonator,5,,,2,,,3
adk,078,Optional Posession,Chant (Quickcast),1,,,1,,,
adk,079,Shayla's Return,Chant (Quickcast),1,,,1,,,
adk,088,"Ciel, Sorceress Priestess",Resonator,3,,,,2,,1
adk,089,Ciel's Familiar Mikay,Resonator,2,,,,1,,1
adk,091,Destruction of the Portal,Chant (Quickcast),2,,,,1,,1
adk,106,Other World Dreams,Chant (Quickcast),1,,,,1,,
adk,119,"Beelzebub, Lord of Flies",Resonator,5,,,,,2,3
adk,123,Command of Life and Death,Chant,2,,,,,1,1
adk,130,Deadly Housefly,Resonator,1,,,,,1,
adk,134,Hilda and Saffina,Resonator,4,,,,,4,
adk,135,"Jeanne d'Arc, Mad Maiden",Resonator,2,,,,,2,
adk,146,Angel Statue of the Tower,Addition,2,,,,,,2
tsw,008,Flourishing Hope/Burgeoning Despair,Chant (Quickcast),1,1,,,,,
tsw,016,Life Stealing Altar/Soul Returning Altar,Addition,1,1,,,,,
tsw,018,Mephistopheles/Mephistopheles,Resonator,3,2,,,,,1
tsw,019,Miscalculation,Chant (Quickcast),1,1,,,,,
tsw,025,Separation of Fates,Chant (Quickcast),1,1,,,,,
tsw,057,"Ultra Dragon, Shooting Star",Resonator,3,,3,,,,
tsw,094,"Laurite, Seven Luminaries Astrologian",Resonator,1,,,,1,,
tsw,095,Laurite's Deletion Magic,Chant (Quickcast),1,,,,1,,X
tsw,096,Laurite's Wind,Chant (Quickcast),2,,,,2,,
tsw,103,"Rachel, the Ancient Library Researcher",Resonator,3,,,,2,,1
tsw,143,Thought Control,Chant,1,,,,,1,
tsw,146,Ruined Story,Chant (Quickcast),2,,,,1,1,
tsw,148,Magic Stone of Hope/Magic Stone of Despair,Special Magic Stone,0,,,,,,
tsw,149,Null Magic Stone,Special Magic Stone,0,,,,,,
wom,003,Arrival of the Hero,Chant (Quickcast),2,2,,,,,
wom,004,"Atom Seikhart, the Envoy of Valhalla",Resonator,3,1,,,,,2
wom,042,"Welser, the Arch Mage of Fire",Resonator,6,,3,,,,3
wom,061,"Unyielding Dragon Lord, Ragnarok",Resonator,6,,,3,,,3
wom,070,Laurite's Seven Disciples,Resonator,3,,,,2,,1
wom,076,"Reincarnation of the Holy Tree, Yggdrasil",Resonator,2,,,,2,,
wom,086,Winds of Salvation,Chant (Quickcast),3,,,,2,,1
wom,094,Glint of Insight,Chant,1,,,,,1,
wom,100,"Rei, the Black Hour/Zero",Resonator,2,,,,,1,1
wom,108,"Vice Leader of the Chivalrous Thieves, Blazer",Resonator,3,,,,,1,2
wom,109,Heroic Epic for the Thousandth Night,Chant,3,,1,,,1,1
wom,110,"Attoractia, City of Verdant Green",Addition,2,,1,,1,,
wom,111,Beyond the Threshold of Time,Chant,3,,,1,1,,1
wom,117,"The Kingdom of Diversity, Light Palace",Addition,2,1,,1,,,
sdv1,001,Acolyte of the Sun,Resonator,1,1,,,,,
sdv1,009,"Eir, Valkyrie of Mercy",Resonator,3,2,,,,,1
sdv2,018,Sandworm,Resonator,1,,1,,,,
sdv2,019,"Set, the Commander of Destruction",Resonator,4,,4,,,,
sdv3,010,Hansel of the Misty Wood,Resonator,2,,,1,,,1
sdv3,021,Scarecrow Guide,Resonator,1,,,1,,,
sdv4,002,"Chiyome, the Captivating Kunoichi",Resonator,4,,,,2,,2
sdv4,004,Fairy of the Lost Isles,Resonator,1,,,,1,,
sdv5,012,Patchwork Frankenstein,Resonator,2,,,,,2,
sdv5,016,Skeleton Horde,Resonator,1,,,,,1,
ndr,003,Balmung,Chant,4,2,,,,,2
ndr,004,Blessing of the Sun,Chant,2,2,,,,,
ndr,006,Commander of Minerva,Resonator,2,2,,,,,
ndr,007,"Country of the Sun, Minerva",Addition,2,1,,,,,1
ndr,018,Spear of the Valkyire,Chant (Quickcast),2,1,,,,,1
ndr,028,"City of Mirage, Sandora",Addition,2,,1,,,,1
ndr,033,"Osiris, Lord of the Afterlife",Resonator,3,,2,,,,1
ndr,034,Sandstorm,Chant,1,,1,,,,
ndr,041,"Arondight, the Nitrogen Blade",Chant (Quickcast),1,,,1,,,
ndr,044,"Hamelin, the Sound of Temptation",Resonator,5,,,3,,,2
ndr,045,Invitation,Chant,3,,,2,,,1
ndr,047,"Jormungandr, Little Eater of Worlds",Resonator,1,,,1,,,
ndr,064,Explore the Unknown,Chant,1,,,,1,,
ndr,068,"Jubei, the One-Eyed Swordsmaster",Resonator,5,,,,2,,3
ndr,069,"Karura, the Crow Tengu",Resonator,5,,,,2,,3
ndr,075,Song of the Fairies,Chant (Quickcast),3,,,,2,,1
ndr,076,Squall of the Tengu,Chant (Quickcast),3,,,,2,,1
ndr,079,"The Village of the Spirited Away, Kouga",Addition,1,,,,1,,
ndr,082,"Azazel, the Fallen Angel of Gloom",Resonator,4,,,,,2,2
ndr,083,"Belial, the Evil from the Scriptures",Resonator,6,,,,,3,3
